pCode,team,name,displayId,backNo,position,throwBat,birthday,heightWeight,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,OAVG,2B,3B,SAC,SF,IBB,WP,BK
68419,LG,최지명,LG16최지명,16,투수,좌투좌타,1995년 01월 22일,186cm/97kg,5.28,13,0,1,0,2,0.000,29,35,3,14,1,21,17,17,1.69,0,0,0,0,132,507,0.302,6,2,0,1,0,2,0
69108,LG,이지강,LG32이지강,32,투수,우투우타,1999년 07월 02일,183cm/85kg,5.32,43,1,2,3,4,0.333,47 1/3,50,4,24,1,39,29,28,1.56,0,0,0,1,211,883,0.270,9,2,0,1,0,1,1
55122,LG,김종운,LG49김종운,49,투수,우투우타,2006년 09월 11일,186cm/85kg,5.40,2,0,0,0,0,-,1 2/3,2,2,0,0,2,3,1,1.20,0,0,0,0,7,31,0.286,0,0,0,0,0,0,0
63145,LG,배재준,LG25배재준,25,투수,우투우타,1994년 11월 24일,188cm/85kg,5.54,14,0,0,0,1,-,13,9,1,7,1,14,8,8,1.23,0,0,0,0,56,234,0.191,4,0,0,1,0,1,0
63248,LG,함덕주,LG11함덕주,11,투수,좌투좌타,1995년 01월 13일,181cm/78kg,6.00,31,2,3,0,1,0.400,27,14,1,18,0,26,19,18,1.19,0,0,0,0,113,463,0.159,5,0,4,3,0,3,0
55138,LG,코엔 윈,LG코엔 윈,,투수,우투우타,1999년 01월 25일,193cm/86kg,7.04,5,1,1,0,0,0.500,23,28,4,4,5,8,19,18,1.39,0,0,1,0,107,408,0.295,7,0,2,1,0,0,0
51154,LG,김진수,LG45김진수,45,투수,우투우타,1998년 08월 31일,179cm/82kg,9.00,4,0,0,0,0,-,5,11,2,1,0,6,5,5,2.40,0,0,0,0,27,104,0.423,3,0,0,0,0,0,0
68159,LG,성동현,LG34성동현,34,투수,우투우타,1999년 05월 18일,189cm/108kg,9.00,12,0,0,0,0,-,9,10,2,9,0,6,9,9,2.11,0,0,0,0,45,201,0.286,0,0,1,0,0,1,0
64596,LG,김유영,LG0김유영,0,투수,좌투좌타,1994년 05월 02일,180cm/83kg,12.46,6,0,0,0,0,-,4 1/3,8,0,4,1,5,6,6,2.77,0,0,0,0,26,108,0.400,3,0,1,0,0,0,0
55121,LG,박시원,LG58박시원,58,투수,우투우타,2006년 04월 12일,193cm/93kg,13.50,2,0,0,0,0,-,1 1/3,0,0,5,0,0,2,2,3.75,0,0,0,0,9,35,0.000,0,0,0,0,0,0,0
69159,LG,정우영,LG18정우영,18,투수,우언우타,1999년 08월 19일,193cm/99kg,20.25,4,0,0,0,0,-,2 2/3,1,1,4,1,3,6,6,1.88,0,0,0,0,13,56,0.125,0,0,0,0,0,0,0
65411,LG,김주온,LG57김주온,57,투수,우투우타,1996년 12월 08일,187cm/89kg,27.00,1,0,1,0,0,0.000,1/3,0,0,2,2,1,1,1,6.00,0,0,0,0,5,23,0.000,0,0,0,0,0,0,0
54608,KIA,김민재,KIA30김민재,30,투수,우투우타,2003년 07월 08일,188cm/85kg,0.00,1,0,0,0,0,-,2,2,0,0,0,1,0,0,1.00,0,0,0,0,8,21,0.250,0,0,0,0,0,0,0
50604,KIA,유지성,KIA4유지성,4,투수,좌투좌타,2000년 11월 15일,189cm/94kg,0.00,1,0,0,0,0,-,1,0,0,0,0,0,0,0,0.00,0,0,0,0,3,10,0.000,0,0,0,0,0,0,0
54610,KIA,성영탁,KIA65성영탁,65,투수,우투우타,2004년 07월 28일,180cm/89kg,1.55,45,3,2,0,7,0.600,52 1/3,38,2,13,0,30,11,9,0.97,0,0,0,0,198,753,0.209,6,0,2,1,0,1,0
54640,KIA,네일,KIA40네일,40,투수,우투우타,1993년 02월 08일,193cm/83kg,2.25,27,8,4,0,0,0.667,164 1/3,135,6,41,15,152,46,41,1.07,0,0,19,0,664,2521,0.225,18,1,7,2,0,4,0
69516,KIA,김현수,KIA17김현수,17,투수,우투우타,2000년 07월 10일,185cm/90kg,2.45,18,0,0,0,0,-,18 1/3,17,2,13,1,11,5,5,1.64,0,0,0,0,86,309,0.243,3,1,1,1,5,2,0
69620,KIA,김기훈,KIA53김기훈,53,투수,좌투좌타,2000년 01월 03일,184cm/93kg,3.25,24,1,1,0,0,0.500,27 2/3,25,2,10,1,27,11,10,1.27,0,0,0,0,117,464,0.245,8,1,1,3,0,2,0
66609,KIA,전상현,KIA51전상현,51,투수,우투우타,1996년 04월 18일,180cm/88kg,3.34,74,7,5,1,25,0.583,70,64,4,20,2,50,30,26,1.20,0,0,0,7,290,1048,0.242,15,0,1,3,3,3,0
55633,KIA,올러,KIA33올러,33,투수,우투우타,1994년 10월 17일,193cm/102kg,3.62,26,11,7,0,0,0.611,149,125,8,47,8,169,64,60,1.15,1,0,16,0,620,2490,0.226,25,3,5,6,0,2,0
50662,KIA,정해영,KIA62정해영,62,투수,우투우타,2001년 08월 23일,189cm/98kg,3.79,60,3,7,27,0,0.300,61 2/3,75,4,18,3,72,30,26,1.51,0,0,0,7,275,1117,0.299,13,0,1,2,1,1,0
63342,KIA,조상우,KIA11조상우,11,투수,우투우타,1994년 09월 04일,186cm/97kg,3.90,72,6,6,1,28,0.500,60,64,5,27,6,55,29,26,1.52,0,0,0,3,271,1113,0.277,15,0,6,1,3,2,0
